mean_fiber_ra,mean_fiber_dec,z,zerr,flux_g,flux_r,flux_z,morphtype,shape_r
194.8951275472979,25.85223516201477,0.06947981093255134,2.864064698824755e-06,8.808449,14.787501,21.033278,SER,0.92877096
194.35521332384,27.40462305188359,0.01611005959805627,3.273667697341964e-06,538.026,936.792,1398.5126,SER,3.7398505
195.3037461591124,28.17256776013178,0.03232873924029411,6.352135736269555e-05,23.800367,43.776577,68.15965,SER,2.2979612
195.5728173743589,28.55466746821151,0.02217666819209153,4.239233115471457e-05,10.818222,17.576954,23.943766,EXP,3.3684838
195.3511587592965,29.1954090559903,0.06085511354386187,1.228010442755174e-06,41.20518,60.29702,73.52154,SER,0.7305683
194.8936794899491,31.0167859993781,-0.000248423993988124,3.93656843148647e-05,2.976661,4.9019637,6.3870497,PSF,0
197.3687243133185,32.44061598931437,0.06708287093246938,8.579570073373046e-06,12.629457,20.287785,29.20304,EXP,2.1321878
194.2349101625556,27.18130801246665,0.07361808992389256,1.246900274068669e-06,9.0297785,12.828036,15.543424,SER,1.0439187
194.4301371386965,27.5776208093817,0.02415381423204521,1.332261365424503e-05,174.4424,356.4242,591.6207,SER,2.765019
194.5667769670923,27.72620457807658,0.0688204856411506,1.702352597553142e-05,2.8135014,2.1878402,-0.30801025,EXP,2.7372913
194.8999022158977,27.90613133679231,0.03024498690663373,5.085067774561313e-05,35.298977,69.907425,109.15966,SER,1.9991026
195.736511444232,27.31705867643971,0.0228486839341526,4.28082515558698e-05,32.493103,61.331512,90.737144,SER,3.3018157
194.1635782894912,28.89564396055694,0.06250259242969582,5.241649213795323e-06,20.06464,27.310972,31.414927,SER,3.3456616
194.7962940008617,28.75776193942859,0.0785611252057404,7.895394708831972e-06,0.37079135,0.39317286,0.79853684,PSF,0
195.8812069547724,23.56469358836186,0.07017777249732461,2.178356727852776e-06,125.68519,156.25392,182.74255,SER,1.4440454
197.4538934180338,24.22557548751906,0.07196504692737118,5.915053116359806e-06,34.97927,53.31707,69.95148,REX,1.8456385
193.3981975653194,27.75873144823631,0.02495861284885802,1.657730439935962e-05,327.84177,610.61707,944.5911,SER,4.9132576
195.2556052542551,27.52044957966326,0.02809034638019667,2.022816820241842e-05,60.629745,118.36899,185.6358,SER,2.060575
195.4227826885345,28.07731232798166,0.02262452060405853,7.596992404962237e-05,12.391533,23.10548,33.885544,SER,3.5542812
195.9781559385107,27.42746521276292,0.05842758777461341,1.506307901079114e-05,5.3214154,7.821811,9.790443,SER,2.1386852
194.5169705005229,28.66664087692221,0.06831591930576877,1.223846426425211e-05,139.7099,284.79065,502.42197,SER,5.549699
198.4548878004473,31.7480770926873,0.02652577454916075,3.393197209994172e-06,12.469279,16.373255,17.123415,SER,3.043957
194.9118990175577,24.59760838954715,0.003456858069443247,6.344796419389962e-06,258.70038,354.03427,429.21295,SER,6.250721
193.9728135758049,27.15772909320115,0.03362430586639777,7.973144791035942e-06,4.0169683,5.109157,5.805476,EXP,1.7384578
193.9539912514185,29.46990721483769,0.0005264879410280047,2.05481272161246e-05,64.1991,98.252174,116.92688,PSF,0
194.7719973994544,27.27249036743616,0.02468405402029799,6.326363554845732e-05,8.907075,15.085448,20.85841,SER,3.1846225
198.5280877225697,30.73643194833439,9.821488614998097e-05,5.715604641809778e-05,1.0894576,1.3976339,1.4444754,PSF,0
194.2751533688254,24.75324010931405,0.07177003262172078,7.611264986920472e-06,79.83159,154.32985,257.35178,SER,3.7199516
193.4758568620579,26.96637413969741,0.02067632741584251,1.703353428827783e-05,447.88837,913.36743,1551.446,SER,6.244594
196.6993337348305,26.28108365238888,0.07391315283783315,8.154542194826825e-06,15.732507,25.34607,35.439316,SER,1.3114887
195.39596048652,31.54781160255085,0.05245023616082645,4.307633947183079e-06,55.273445,85.2687,113.9275,SER,3.0206048
196.1472406388859,32.80725263014751,0.06678336341008312,2.527118530213261e-06,49.412174,75.42791,111.858116,REX,1.959052
195.476247377541,24.77901380035744,0.06647578631223997,7.577975950546979e-06,6.6847734,9.0487995,10.452682,EXP,1.7801356
193.3921397756917,27.45850205660005,0.01732249774954366,1.090638788250055e-05,55.7206,74.496086,89.36792,SER,4.046497
199.2387270199184,25.55008216414353,0.0003563523609477107,3.086147870219664e-05,25.889362,32.89184,34.343533,PSF,0
195.5006337308275,28.73127460302739,0.07715830370440871,7.558217073019056e-06,2.1576304,2.5431921,3.6923456,DEV,2.358162
192.144073225709,26.13423750302518,0.07722095836246654,4.090520165666204e-06,0.38019097,0.29994315,0.12612507,REX,0.5170888
193.8518255840675,27.28051208747505,0.02193338248593416,4.396749051038691e-05,49.117615,89.78879,132.26149,SER,4.2601314
193.0958933844721,27.91082699613636,0.06104919567644054,6.906876962340466e-06,72.424675,129.73608,201.60966,SER,3.4226732
193.7356798948301,29.5977616762885,0.02093165641195223,1.413369216064731e-05,6.2900176,9.914861,12.653771,EXP,2.2787418
