iteration,target_label,center_ra,center_dec,center_z,center_shift_scaled,selected_count,mean_probability,lower_bound
1,0,194.8201164071149,27.82722031810727,0.023202244708505515,0.07342740256450044,2308,0.9329540007111315,-3.804864848919084
2,0,194.81401829296624,27.89629257067679,0.023691317907973523,0.03845748038940109,2260,0.9447980698967696,-3.4217015572059934
3,0,194.79072762689532,27.926312314333437,0.023587698063758922,0.02412615655666015,2183,0.954114736642623,-3.2923494366549253
4,0,194.77934125009557,27.93288313220781,0.023452847197096657,0.01128788701608807,2157,0.9528252889490568,-3.2565846133358787
5,0,194.77469878506406,27.934284429329598,0.023380433642061594,0.004875036816796699,2148,0.9478218536098153,-3.2388256665121973
6,0,194.7729805750228,27.93529392269114,0.02334941442437799,0.001957275701361715,2136,0.9439651705178892,-3.2230559460755663
7,0,194.7721876818804,27.93545046426609,0.023333816002410024,0.0009153937837739701,2129,0.9400655159261906,-3.204864875845679
8,0,194.7717591721942,27.934328548252495,0.023324748837839616,0.0007344278188408799,2124,0.9375015474203482,-3.1947203675371414
9,0,194.77164849027398,27.93327886760739,0.02331985495575435,0.0005398290883794639,2120,0.9360006578848603,-3.1936738463903787
10,0,194.77161960364418,27.932604753148265,0.0233172601610054,0.0003347542043071793,2116,0.9353449799464435,-3.19332237846391
11,0,194.77159613598369,27.932235325114327,0.023315881627831322,0.00018344500566128577,2116,0.9343866558887995,-3.193143599572158
12,0,194.77155139565008,27.93203771550075,0.02331515906953428,0.00010408825512568319,2115,0.9339825739008623,-3.193035258063721
13,0,194.77148336280243,27.931932442462784,0.023314802280797985,7.599005960182247e-05,2114,0.9337998707074121,-3.1929597976623394
